Monster,Source,# Enc.,Move,AC,HD,# Attacks,Attack Types,Damage,Save,Morale,XP,Notes
Aboleth,M2,1d4(1d4),S180'(60'),4(15),8,4,tentacles,1d6/1d6/1d6/1d6,F8,10,"2,060",Slime and enslavement abilites. Ground movement 30'(10').
Adherer,FF,1d4(1d6),90'(30'),3(16),4,1,fists,1d3,F4,7,190,Creatures and weapons stick to skin.
Aerial Servant,L2,1(1),240'(80'),3(16),16,1,slam,8d4,F10,10,"3,300",Surprises on 1-4. May pin human-sized creatures.
Afanc,M2,1(1),S150'(50'),6(13),15,1or2,bite/flippers,5d4/3d4/3d4,F15,10,"2,400",Create whirpool in 5-8rds.
Algoid,FF,1d6(1d6),60'(20'),5(14),5,2,fists,1d10/1d10,F5,10,800,"Mind Blast. Immune to edged weapons, fireballs and lightning."
Ankheg 3HD,L2,1d6(1d6),120'(40'),3(16),3,1,bite,3d6+1d4,F3,9,80,Spit acid 1/day R30' 8d4Dam (S½). Burrows at 60'/rd.
Ankheg 4HD,L2,1d6(1d6),120'(40'),3(16),4,1,bite,3d6+1d4,F4,9,190,Spit acid 1/day R30' 8d4Dam (S½). Burrows at 60'/rd.
Ankheg 5HD,L2,1d6(1d6),120'(40'),3(16),5,1,bite,3d6+1d4,F5,9,500,Spit acid 1/day R30' 8d4Dam (S½). Burrows at 60'/rd.
Ankheg 6HD,L2,1d6(1d6),120'(40'),3(16),6,1,bite,3d6+1d4,F6,9,820,Spit acid 1/day R30' 8d4Dam (S½). Burrows at 60'/rd.
Ankheg 7HD,L2,1d6(1d6),120'(40'),3(16),7,1,bite,3d6+1d4,F7,9,"1,140",Spit acid 1/day R30' 8d4Dam (S½). Burrows at 60'/rd.
Ankheg 8HD,L2,1d6(1d6),120'(40'),3(16),8,1,bite,3d6+1d4,F8,9,"2,800",Spit acid 1/day R30' 8d4Dam (S½). Burrows at 60'/rd.
"Ant, Giant",L1,2d4(4d6),180'(60'),3(16),4,1,bite,2d6,F2,7,80,Will never retreat if defending the nest.
Ant Lion,M2,1(1),90'(30'),2(17),8,1,bite,5d4,F4,9,"1,560",Recuring damgage after a hit until dead.
"Ape, Albino",L1,1d6(2d4),120'(40'),6(13),4,2,claws,1d4/1d4,F2,7,80,Throw rocks 1d6Dam.
"Ape, Chimpanzee",L2,1d4(3d4),120'(40'),6(13),3,3,fists/bite,1d3/1d3/1d6,F3,9,50,
"Ape, Gorilla",L2,1d4(3d4),120'(40'),6(13),4+1,3,fists/bite,1d3/1d3/1d6,F4,8,80,
"Ape, Man-Eating",L2,2d4(3d4),120'(40'),6(13),5,3,fists/bite,1d4/1d4/1d8,F5,10,350,Only surprised on 1. +1d8Dam if both fists hit.
Apparition,FF,1d4(1d4),F240'(80'),0(19),8,1,fear,Special,F8,12,"2,060",Mental suggestion (roll under INT on 3d6 for immunity).
Archer Bush,CC,0(1d20),3'(1'),7(12),2,1,thorn spray,1d4,F1,12,20,May fire thorns up to 3 times per day.
Ascomoid(8'diameter),M2,1(1),120'(40'),3(16),6+6,1,slam,1d8,F3,12,80,"Knock down, spore jet, 50% resistant to fire and electricity."
"Assassin Bug, Giant",FF,2(2),F180'(60'),5(14),1+1,1,bite,1d4,F2,7,21,Male's bite paralyses (S+2). Female implants eggs.
Axe Beak,L2,1d6(2d4),180'(60'),6(13),3,3,claws/bite,1d3/1d3/2d4,F3,8,50,
Babbler,FF,1d4(1d4),120'(40'),6(13),5,3,claws/bite,1d6/1d6/1d8,F3,9,500,Surprises on 1-4. Surprise bite attack at +4 to hit and 2xDam.
Baboon,L2,2d4(1d4x10),120'(40'),7(12),1+1,1,bite,1d4,F1,7,15,
"Baboon, Higher",L1,2d6(5d6),120'(40'),6(13),2,2,bite/club,1d3/1d6,F2,8,20,
Badger,L2,1d2(1d4+1),60'(20'),4(15),1+2,3,claws/bite,1d2/1d2/1d3,F1,8,15,
"Badger, Giant",L2,1d2(1d4+1),60'(20'),4(15),3,3,claws/bite,1d3/1d3/1d6,F3,8,50,
Banderlog,M2,4d8(4d8),120'(40'),6(13),4,1,bite,1d4+1,F4,9,80,"Throw coconuts R30', 1d4+1Dam."
Basilisk,L1,1d6(1d6),60'(20'),4(15),6+1,2,bite/gaze,1d10/petrify,F6,9,570,Gaze turns to stone (SNeg). Not immune to its own gaze.
"Basilisk, Greater",M2,1d2(1d2),60'(20'),2(17),10,4,claws/bite/gaze,1d6/1d6/2d8,F10,10,"2,400",As regular basilisk + poisonous claws/breath (SorD+4/+2).
Bat,L1,1d00(1d00),F120'(40'),6(13),1hp,1,swarm,0,F0,6,6,Swarm attack victims get -2 to hit and on saves.
"Bat, Giant",L1,1d10(1d10),F180'(60'),6(13),2,1,bite,1d4,F1,8,20,Vampiric variety cause paralysis and drain blood (1d4/rd).
"Bat, Mobat",M2,1d8(1d8),F150'(50'),7(12),6,1,bite or screech,2d4,F3,9,135,Screech causes victims to cover ears.
"Bear, Black",L1,1d4(1d4),120'(40'),6(13),4,3,claws/bite,1d3/1d3/1d6,F2,7,80,+2d4Dam if both claws hit.
"Bear, Grizzly",L1,1(1d4),120'(40'),6(13),5,3,claws/bite,1d4/1d4/1d8,F2,8,200,+2d6Dam if both claws hit.
"Bear, Polar",L1,1(1d2),120'(40'),6(13),6,3,claws/bite,1d6/1d6/1d10,F3,8,320,+2d6Dam if both claws hit.
"Bear, Cave",L1,1d2(1d2),120'(40'),5(14),7,3,claws/bite,1d8/1d8/1d12,F3,9,440,+2d8Dam if both claws hit.
"Bee, Giant Killer",L1,1d6(5d6),F150'(50'),7(12),½,1,sting,1d3+poison,F1,9,7,Poisonous sting (SorD). Bee dies after using sting.
"Beetle, Gt.Boring",L2,3d6(3d6),60'(20'),3(16),5,1,bite,5d4,F5,7,200,
"Beetle, Gt.Carnivorous",L1,1d6(2d4),150'(50'),3(16),3+1,1,bite,2d6,F1,9,65,
"Beetle, Gt.Deathwatch",M2,1(1),120'(40'),3(16),9,1,bite,3d4,F9,9,"1,700",Sonic Vibration attack 1/day (SorD) 30'R.
"Beetle, Gt.Fire",L1,1d8(2d6),120'(40'),4(15),1+2,1,bite,2d4,F1,7,15,Light emitting organs 10'R.
"Beetle, Gt.Rhinoceros",L2,1d6(1d6),60'(20'),2(17),12,2,bite/horn,3d6/2d8,F12,8,"1,200",
"Beetle, Gt.Slicer",M2,1d3(1d3),60'(30'),3(16),6,1,bite,2d8,F6,8,570,On a to hit roll of 19 or 20 it severs a limb.
"Beetle, Gt.Spitting",L1,1d8(2d6),120'(40'),4(15),2,1,bite,1d6,F1,8,38,"Toxic spray R5', target gets -2 to hit penalty."
"Beetle, Gt.Stag",L2,2d6(2d6),60'(20'),3(16),7,3,horns/bite,1d10/1d10/4d4,F7,8,440,
"Beetle, Gt.Water",M1,1d12(1d12),S120'(40'),3(16),4,1,bite,3d6,F4,8,80,
Black Pudding,L1,1(0),60'(20'),6(13),10,1,corrosion,3d8,F5,12,"3,100",Only damaged by fire. Normal blows cause it to split.
Blindheim,FF,1d4(1d4),90'(30'),1(18),4+2,1,bite,1d8,F4,8,215,Blinding eye beams R30'. AC3 if resistant to bright light.
Blink Dog,L1,1d6(1d6),120'(40'),5(14),4,1,bite,1d6,F4,6,135,Teleports in to attack and teleports away immediatley afterwards.
Blood Hawk,FF,1d12+3(1d12+3),F240'(80'),7(12),1+1,3,claws/bite,1d4/1d4/1d6,F1,12,15,
Boalisk,M2,1d3(1d3),120'(40'),5(14),5+1,2,bite/constrict,1d3/1d6+1,F5,8,460,Gaze causes rotting disease.
Boar,L1,1d6(1d6),150'(50'),7(12),3,1,tusk,2d4,F2,9,50,
"Boar, Giant",L1,1d4(1d4+1),120'(40'),6(13),5,1,tusk,3d4,F5,9,200,
"Boar, Warthog",L2,1d6(1d6),120'(40'),7(12),3+3,2,tusks,2d4/2d4,F3,9,65,
Boggart,M2,1d4+1(1d4+1),180'(60'),-6(25),6,1,touch,2d6,F6,8,"2,070","Invisibility, energy bolt R10' 2d6Dam (S½), confusion, magic resistance."
Bonesnapper,FF,1d3(1d3),60'(20'),4(15),4,2,bite/tail,1d8/1d4,F4,12,80,
Brown Pudding,M2,1(1d4),60'(20'),5(14),11,1,corrosion,5d4,F11,12,"3,100",Only damaged by fire. Normal blows cause it to split.
Brownie,L2,4d4(4d4),120'(40'),3(16),½,1,weapon,1d3,M1,7,12,"Spells (confusion, continual light, dancing lights, dimnesion door etc.)."
Bugbear,L1,2d4(5d4),90'(30'),5(14),3+1,1,weapon,Weapon +1,F3,9,100,Surprises on 1-3.
Bulette,L2,1d2(1d2),150'(50'),-2(21),9,3,claws/bite,3d6/3d6/4d12,F9,9,"1,000","May use rear claws instead of bite, which exposes AC6 underside."
Camel,L1,0(2d4),150'(50'),7(12),2,2,bite/hoof,1/1d4,F1,7,20,May travel for 2 weeks without water.
Carbuncle,FF,1(1),30'(10'),2(17),1,0,0,0,F1,12,13,"Empathy, telepathy and prophecy powers."
Carcass Scavenger,L1,1d3(1d3),120'(40'),7(12),3+1,8,tentacles,Paralysis,F2,9,135,Paralysis lasts for 2d4turns (SNeg).
Caryatid Column,FF,1d12(1d12),60'(20'),5(14),5,1,sword,2d4,F10,12,500,All have 22hp. Non-magical weapons only do half damage.
"Cat, Cheetah",M2,1d4(1d4),150'(50'),5(14),3,3,claws/bite,1d2/1d2/2d4,F2,8,65,May sprint at 450'/rd for upto 3rds.
"Cat, Lion",L1,1d4(1d8),150'(50'),6(13),5,3,claws/bite,1d4+1/1d4+1/1d10,F3,9,200,
"Cat, Mountain Lion",L1,1d4(1d4),150'(50'),6(13),3+2,3,claws/bite,1d3/1d3/1d6,F2,8,65,
"Cat, Panther",L1,1d2(1d6),210'(70'),4(15),4,3,claws/bite,1d4/1d4/1d8,F2,8,80,Same stats also apply for Leopards.
"Cat, Sabre-tooth Tiger",L1,1d4(1d4),150'(50'),6(13),8,3,claws/bite,1d8/1d8/2d8,F4,10,560,
"Cat, Tiger",L1,1(1d3),150'(50'),6(13),6,3,claws/bite,1d6/1d6/2d6,F3,9,570,Surprises on 1-4 in woodlands.
Cave Fisher,M2,1d4(1d4),10'(3'),4(15),3,2,pincers,2d4/2d4,F2,9,65,"60' sticky filament, +3 to hit, reels in prey at 15'/rd."
Cave Moray,M2,4d4(4d4),10'(3'),0(19),4+4,1,bite,2d8,F3,9,290,Surprises on 1-5. Only 5% chance of hitting AC5 body.
Centaur,L1,0(2d10),180'(60'),5(14),4,3,hooves/weapon,1d6/1d6/weapon,F4,8,80,
"Centipede, Giant",L1,2d4(1d8),60'(20'),9(10),½,1,bite,Poison,F0,7,6,Poison causes sickness for 10 days (SNeg).
"Centipede, Megalo-",M2,1d4(1d4),180'(60'),5(14),3,1,bite,1d3+poison,F2,8,65,"Poison (SorD), 1d8Dam if save is made."
"Centipede, Stega-",M2,1(1),150'(50'),3(16),9,2,bite/tail,2d4/3d4+poison,F5,9,"1,700",Poison bite and tail attacks (SorD).
Chimera,L1,1d2(1d4),F180'(60'),4(15),9,5,claws/bites/horns,1d3/1d3/2d4/2d4/3d4,F9,9,"1,700",See Dragon Sub-table. Ground movement 120'(40').
Clubneck,FF,2d4(2d4),120'(40'),8(11),2,3,claws/bite,1d6/1d6/1d8,F2,8,20,May run at upto 2x speed 1rd in 5.
Cockatrice,L1,1d4(1d8),F180'(60'),6(13),5,1,bite,1d6+petrify,F5,7,350,Touch turns to stone (SNeg). Ground movement 90'(30').
Coffer Corpse,FF,1(1),60'(20'),8(11),2,1,hands or weapon,1d6/weapon,F2,12,38,Magic weapons to hit. Hands do ongoing 1d6Dam.
Cooshee,M2,1d8(1d8),150'(50'),5(14),3+3,1,bite,1d4+6,F2,9,100,Will try to knock down opponents then bite at +2 to hit.
Couatl,L2,1d4(1d4),F180'(60'),5(14),9,2,bite/constrict,1d3/2d4,M9,8,"3,100",Bite is poisonous (SorD). Polymorph at will. Spell use.
"Crab, Giant",L1,1d2(1d6),60'(20'),2(17),3,2,pincers,2d6/2d6,F2,7,50,
Crabman,FF,2d6(2d6),90'(30'),4(15),3,2,pincers,1d4/1d4,F3,8,50,
